site_id,run_id,ts_iso,req_id,session_id,provider,client_start_ms,client_tts_start_ms,e2e_latency_ms
SCENE_B_STUDIO,FT-SCENE_A_MS-1755175122385,2025-08-14T12:49:22.169758,6d6b7227-cee1-4a3e-801b-ae5cc683c623,T01,ft,trial,1755175762123,1755175762248,125
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755175762249,2025-08-14T12:49:50.140841,fb02d4e0-6024-4673-a93c-ffffcb717da1,T01,ft,trial,1755175786142,1755175790210,4068
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755175762249,2025-08-14T12:50:36.046590,1b16dd3c-5e87-4d8e-b41b-24a082cb1ecb,T01,ft,trial,1755175833678,1755175836114,2436
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:54:39.318105,bb604927-21f5-497b-a6ce-32960c9c9a2e,T01,ft,trial,1755176079279,1755176079400,121
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:55:16.374185,83dc91a9-d966-4034-99a4-32051c9917d8,T01,ft,trial,1755176112622,1755176116446,3824
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:56:27.686481,0dc99482-7d00-43bd-8b63-e3f60acd0e4c,T01,ft,trial,1755176185162,1755176187758,2596
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:56:51.695937,ef37b742-1169-4b4f-b9d2-2fddd1005101,T01,ft,trial,1755176209680,1755176211772,2092
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:57:24.839243,c9cbd83f-2773-4a57-a24a-fe18f80d1b83,T01,ft,trial,1755176242912,1755176244916,2004
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:17:17.364832,79802983-83ac-4be0-872c-679b22a550b4,T04,ft,trial,1755177437092,1755177437440,348
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:17:50.475524,97622483-0744-47d8-9b0b-6f9022debfcb,T04,ft,trial,1755177467802,1755177470542,2740
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:18:44.426165,14b476e9-2d91-47b2-95e1-7af0cb63c19d,T04,ft,trial,1755177521853,1755177524507,2654
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:19:15.087781,5be9bb95-199a-411e-900a-ae115e35141e,T04,ft,trial,1755177553449,1755177555168,1719
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:19:47.340058,f38436f4-e75e-4b29-ade7-17ba9a6eabbe,T04,ft,trial,1755177585818,1755177587421,1603
